id	original_sentence	entities	paraphrase
3	"In colon carcinoma cells , loss of APC leads to the accumulation of betacatenin in the nucleus , where it binds to and activates the Tcf - 4 transcription factor ( reviewed in [ 1 ] [ 2 ] ) ."	colon carcinoma	"In colon carcinoma cells , APC loss results in nuclear accumulation of betacatenin , which activates the Tcf - 4 transcription factor ."
3	"In colon carcinoma cells , loss of APC leads to the accumulation of betacatenin in the nucleus , where it binds to and activates the Tcf - 4 transcription factor ( reviewed in [ 1 ] [ 2 ] ) ."	colon carcinoma	APC deficiency in colon carcinoma cells leads to the build-up of nuclear betacatenin and subsequent activation of Tcf - 4 .
3	"In colon carcinoma cells , loss of APC leads to the accumulation of betacatenin in the nucleus , where it binds to and activates the Tcf - 4 transcription factor ( reviewed in [ 1 ] [ 2 ] ) ."	colon carcinoma	"Within colon carcinoma cells , APC loss promotes nuclear betacatenin accumulation that triggers Tcf - 4 activation ."
3	"In colon carcinoma cells , loss of APC leads to the accumulation of betacatenin in the nucleus , where it binds to and activates the Tcf - 4 transcription factor ( reviewed in [ 1 ] [ 2 ] ) ."	colon carcinoma	"APC loss in colon carcinoma selectively enhances nuclear betacatenin levels , enabling activation of Tcf - 4 ."
3	"In colon carcinoma cells , loss of APC leads to the accumulation of betacatenin in the nucleus , where it binds to and activates the Tcf - 4 transcription factor ( reviewed in [ 1 ] [ 2 ] ) ."	colon carcinoma	Colon carcinoma cells lacking APC show nuclear accumulation of betacatenin that binds and activates Tcf - 4 .
6	"Like APC , APC2 regulates the formation of active betacatenin - Tcf complexes , as demonstrated using transient transcriptional activation assays in APC - / - colon carcinoma cells ."	colon carcinoma	"Similar to APC , APC2 modulates active betacatenin - Tcf complex formation , as shown in transcriptional assays using APC - / - colon carcinoma cells ."
6	"Like APC , APC2 regulates the formation of active betacatenin - Tcf complexes , as demonstrated using transient transcriptional activation assays in APC - / - colon carcinoma cells ."	colon carcinoma	"APC2 , like APC , influences the generation of active betacatenin - Tcf complexes according to studies in APC - / - colon carcinoma cells ."
6	"Like APC , APC2 regulates the formation of active betacatenin - Tcf complexes , as demonstrated using transient transcriptional activation assays in APC - / - colon carcinoma cells ."	colon carcinoma	Functional assays using APC - / - colon carcinoma cells reveal that APC2 also regulates active betacatenin - Tcf complex formation .
6	"Like APC , APC2 regulates the formation of active betacatenin - Tcf complexes , as demonstrated using transient transcriptional activation assays in APC - / - colon carcinoma cells ."	colon carcinoma	"In APC - / - colon carcinoma cells , APC2 was shown to modulate the assembly of active betacatenin - Tcf complexes ."
6	"Like APC , APC2 regulates the formation of active betacatenin - Tcf complexes , as demonstrated using transient transcriptional activation assays in APC - / - colon carcinoma cells ."	colon carcinoma	Studies in APC - / - colon carcinoma cells demonstrate that APC2 participates in regulating betacatenin - Tcf complex activation .
9	APC and APC2 may therefore have comparable functions in development and cancer .	cancer	APC and APC2 may share similar functional roles in cancer and development .
9	APC and APC2 may therefore have comparable functions in development and cancer .	cancer	The findings suggest that APC and APC2 perform analogous functions in both development and cancer .
9	APC and APC2 may therefore have comparable functions in development and cancer .	cancer	APC and APC2 appear to exhibit overlapping functional roles in developmental processes and cancer .
9	APC and APC2 may therefore have comparable functions in development and cancer .	cancer	It is likely that APC and APC2 have functionally comparable roles in development as well as cancer .
9	APC and APC2 may therefore have comparable functions in development and cancer .	cancer	These observations imply that APC and APC2 fulfil similar biological roles in cancer and developmental pathways .
10	"A common MSH2 mutation in English and North American HNPCC families : origin , phenotypic expression , and sex specific differences in colorectal cancer ."	HNPCC|||colorectal cancer	"A recurrent MSH2 mutation found in English and North American HNPCC families shows distinct origins , phenotypic effects and sex - specific patterns in colorectal cancer ."
10	"A common MSH2 mutation in English and North American HNPCC families : origin , phenotypic expression , and sex specific differences in colorectal cancer ."	HNPCC|||colorectal cancer	"A shared MSH2 mutation in English and North American HNPCC families was examined with respect to its origin , phenotype and sex - related differences in colorectal cancer ."
10	"A common MSH2 mutation in English and North American HNPCC families : origin , phenotypic expression , and sex specific differences in colorectal cancer ."	HNPCC|||colorectal cancer	"This study investigates a common MSH2 mutation in HNPCC families from England and North America and its relationship to colorectal cancer , including sex - specific variation ."
10	"A common MSH2 mutation in English and North American HNPCC families : origin , phenotypic expression , and sex specific differences in colorectal cancer ."	HNPCC|||colorectal cancer	A prevalent MSH2 mutation in HNPCC families from England and North America was analysed for its origins and for sex - specific colorectal cancer outcomes .
10	"A common MSH2 mutation in English and North American HNPCC families : origin , phenotypic expression , and sex specific differences in colorectal cancer ."	HNPCC|||colorectal cancer	"The study characterises a recurring MSH2 mutation in English and North American HNPCC families and its impact on colorectal cancer , including sex - dependent differences ."
11	"The frequency , origin , and phenotypic expression of a germline MSH2 gene mutation previously identified in seven kindreds with hereditary non - polyposis cancer syndrome ( HNPCC ) was investigated ."	hereditary non - polyposis cancer syndrome|||HNPCC	The frequency and origin of a germline MSH2 mutation in families with hereditary non - polyposis cancer syndrome ( HNPCC ) were analysed alongside its phenotypic effects .
11	"The frequency , origin , and phenotypic expression of a germline MSH2 gene mutation previously identified in seven kindreds with hereditary non - polyposis cancer syndrome ( HNPCC ) was investigated ."	hereditary non - polyposis cancer syndrome|||HNPCC	This study examined the frequency and origins of a germline MSH2 mutation in hereditary non - polyposis cancer syndrome ( HNPCC ) families and its phenotypic characteristics .
11	"The frequency , origin , and phenotypic expression of a germline MSH2 gene mutation previously identified in seven kindreds with hereditary non - polyposis cancer syndrome ( HNPCC ) was investigated ."	hereditary non - polyposis cancer syndrome|||HNPCC	"Researchers investigated the prevalence and origins of a germline MSH2 mutation in hereditary non - polyposis cancer syndrome ( HNPCC ) families , as well as its phenotype ."
11	"The frequency , origin , and phenotypic expression of a germline MSH2 gene mutation previously identified in seven kindreds with hereditary non - polyposis cancer syndrome ( HNPCC ) was investigated ."	hereditary non - polyposis cancer syndrome|||HNPCC	"An analysis was performed on the frequency , origin and phenotypic expression of a germline MSH2 mutation in hereditary non - polyposis cancer syndrome ( HNPCC ) kindreds ."
11	"The frequency , origin , and phenotypic expression of a germline MSH2 gene mutation previously identified in seven kindreds with hereditary non - polyposis cancer syndrome ( HNPCC ) was investigated ."	hereditary non - polyposis cancer syndrome|||HNPCC	"This investigation focused on a germline MSH2 mutation in hereditary non - polyposis cancer syndrome ( HNPCC ) families , analysing its frequency , source and phenotypic effects ."
13	"Although this mutation was initially detected in four of 33 colorectal cancer families analysed from eastern England , more extensive analysis has reduced the frequency to four of 52 ( 8 % ) English HNPCC kindreds analysed ."	colorectal cancer|||HNPCC	"Although initially observed in four of 33 colorectal cancer families from eastern England , further screening reduced its frequency to four of 52 English HNPCC kindreds ."
13	"Although this mutation was initially detected in four of 33 colorectal cancer families analysed from eastern England , more extensive analysis has reduced the frequency to four of 52 ( 8 % ) English HNPCC kindreds analysed ."	colorectal cancer|||HNPCC	Expanded analysis showed that a mutation first detected in four of 33 colorectal cancer families was ultimately confirmed in only four of 52 English HNPCC kindreds .
13	"Although this mutation was initially detected in four of 33 colorectal cancer families analysed from eastern England , more extensive analysis has reduced the frequency to four of 52 ( 8 % ) English HNPCC kindreds analysed ."	colorectal cancer|||HNPCC	A mutation initially reported in several colorectal cancer families from eastern England was later verified in four of 52 English HNPCC families .
13	"Although this mutation was initially detected in four of 33 colorectal cancer families analysed from eastern England , more extensive analysis has reduced the frequency to four of 52 ( 8 % ) English HNPCC kindreds analysed ."	colorectal cancer|||HNPCC	"The mutation was first identified in four colorectal cancer families , but extended testing showed it to occur in only four of 52 English HNPCC families ."
13	"Although this mutation was initially detected in four of 33 colorectal cancer families analysed from eastern England , more extensive analysis has reduced the frequency to four of 52 ( 8 % ) English HNPCC kindreds analysed ."	colorectal cancer|||HNPCC	Initial findings of the mutation in colorectal cancer families were refined after broader analysis confirmed its presence in four of 52 English HNPCC kindreds .
14	"In contrast , the MSH2 mutation was identified in 10 of 20 ( 50 % ) separately identified colorectal families from Newfoundland ."	colorectal	"In contrast , the MSH2 mutation occurred in 10 of 20 colorectal families in Newfoundland ."
14	"In contrast , the MSH2 mutation was identified in 10 of 20 ( 50 % ) separately identified colorectal families from Newfoundland ."	colorectal	"The MSH2 mutation was found at a higher frequency , appearing in 10 of 20 colorectal families from Newfoundland ."
14	"In contrast , the MSH2 mutation was identified in 10 of 20 ( 50 % ) separately identified colorectal families from Newfoundland ."	colorectal	Newfoundland colorectal families exhibited a 50 % detection rate for the MSH2 mutation .
14	"In contrast , the MSH2 mutation was identified in 10 of 20 ( 50 % ) separately identified colorectal families from Newfoundland ."	colorectal	"Among Newfoundland colorectal families , the MSH2 mutation was detected in half of those examined ."
14	"In contrast , the MSH2 mutation was identified in 10 of 20 ( 50 % ) separately identified colorectal families from Newfoundland ."	colorectal	The study reported that 10 out of 20 colorectal families from Newfoundland carried the MSH2 mutation .
15	"To investigate the origin of this mutation in colorectal cancer families from England ( n = 4 ) , Newfoundland ( n = 10 ) , and the United States ( n = 3 ) , haplotype analysis using microsatellite markers linked to MSH2 was performed ."	colorectal cancer	"Haplotype analysis using microsatellite markers was conducted to trace the origin of this mutation in colorectal cancer families from England , Newfoundland and the United States ."
15	"To investigate the origin of this mutation in colorectal cancer families from England ( n = 4 ) , Newfoundland ( n = 10 ) , and the United States ( n = 3 ) , haplotype analysis using microsatellite markers linked to MSH2 was performed ."	colorectal cancer	Microsatellite - based haplotype analysis was undertaken to explore the mutation’s origin in colorectal cancer families across three regions .
15	"To investigate the origin of this mutation in colorectal cancer families from England ( n = 4 ) , Newfoundland ( n = 10 ) , and the United States ( n = 3 ) , haplotype analysis using microsatellite markers linked to MSH2 was performed ."	colorectal cancer	The study used MSH2 - linked microsatellite markers to analyse the origin of the mutation in colorectal cancer families from multiple geographic groups .
15	"To investigate the origin of this mutation in colorectal cancer families from England ( n = 4 ) , Newfoundland ( n = 10 ) , and the United States ( n = 3 ) , haplotype analysis using microsatellite markers linked to MSH2 was performed ."	colorectal cancer	Researchers performed haplotype mapping using MSH2 - associated microsatellite markers to investigate mutation origins in colorectal cancer families .
15	"To investigate the origin of this mutation in colorectal cancer families from England ( n = 4 ) , Newfoundland ( n = 10 ) , and the United States ( n = 3 ) , haplotype analysis using microsatellite markers linked to MSH2 was performed ."	colorectal cancer	Haplotype analysis employing MSH2 - linked microsatellites clarified the geographical origins of the mutation in colorectal cancer families .
18	These findings suggested a founder effect within Newfoundland similar to that reported by others for two MLH1 mutations in Finnish HNPCC families .	HNPCC	"These findings point to a founder effect in Newfoundland , mirroring reports of MLH1 mutations in Finnish HNPCC families ."
18	These findings suggested a founder effect within Newfoundland similar to that reported by others for two MLH1 mutations in Finnish HNPCC families .	HNPCC	The results support the existence of a founder effect in Newfoundland analogous to MLH1 - associated founder mutations in Finnish HNPCC families .
18	These findings suggested a founder effect within Newfoundland similar to that reported by others for two MLH1 mutations in Finnish HNPCC families .	HNPCC	The data indicate a Newfoundland founder effect comparable to previously described MLH1 mutations in Finnish HNPCC families .
18	These findings suggested a founder effect within Newfoundland similar to that reported by others for two MLH1 mutations in Finnish HNPCC families .	HNPCC	Researchers inferred a Newfoundland founder effect resembling MLH1 mutation patterns seen in Finnish HNPCC families .
18	These findings suggested a founder effect within Newfoundland similar to that reported by others for two MLH1 mutations in Finnish HNPCC families .	HNPCC	The study suggests a Newfoundland founder effect parallel to MLH1 mutation findings in Finnish HNPCC pedigrees .
19	"We calculated age related risks of all , colorectal , endometrial , and ovarian cancers in nt943 + 3 A - - > T MSH2 mutation carriers ( n = 76 ) for all patients and for men and women separately ."	"colorectal , endometrial , and ovarian cancers"	"Age - related risks of colorectal , endometrial and ovarian cancers were estimated for carriers of the nt943 + 3 A - - > T MSH2 mutation ."
19	"We calculated age related risks of all , colorectal , endometrial , and ovarian cancers in nt943 + 3 A - - > T MSH2 mutation carriers ( n = 76 ) for all patients and for men and women separately ."	"colorectal , endometrial , and ovarian cancers"	"The study assessed age - specific cancer risks , including colorectal , endometrial and ovarian cancers , in individuals harbouring the nt943 + 3 A - - > T MSH2 mutation ."
19	"We calculated age related risks of all , colorectal , endometrial , and ovarian cancers in nt943 + 3 A - - > T MSH2 mutation carriers ( n = 76 ) for all patients and for men and women separately ."	"colorectal , endometrial , and ovarian cancers"	"Researchers quantified age - dependent risks for colorectal , endometrial and ovarian cancers among carriers of the nt943 + 3 A - - > T MSH2 mutation ."
19	"We calculated age related risks of all , colorectal , endometrial , and ovarian cancers in nt943 + 3 A - - > T MSH2 mutation carriers ( n = 76 ) for all patients and for men and women separately ."	"colorectal , endometrial , and ovarian cancers"	"The analysis provided age - stratified risks of colorectal , endometrial and ovarian cancers in mutation carriers ."
19	"We calculated age related risks of all , colorectal , endometrial , and ovarian cancers in nt943 + 3 A - - > T MSH2 mutation carriers ( n = 76 ) for all patients and for men and women separately ."	"colorectal , endometrial , and ovarian cancers"	"Age - related cancer risks , including colorectal , endometrial and ovarian cancers , were determined for carriers of the nt943 + 3 A - - > T MSH2 mutation ."
20	"For both sexes combined , the penetrances at age 60 years for all cancers and for colorectal cancer were 0 ."	cancers|||colorectal cancer	"For both sexes combined , penetrance at age 60 was estimated for all cancers and for colorectal cancer ."
20	"For both sexes combined , the penetrances at age 60 years for all cancers and for colorectal cancer were 0 ."	cancers|||colorectal cancer	Penetrance values for all cancers and colorectal cancer at age 60 were calculated for males and females collectively .
20	"For both sexes combined , the penetrances at age 60 years for all cancers and for colorectal cancer were 0 ."	cancers|||colorectal cancer	The overall penetrances of all cancers and of colorectal cancer by age 60 were assessed for both sexes .
20	"For both sexes combined , the penetrances at age 60 years for all cancers and for colorectal cancer were 0 ."	cancers|||colorectal cancer	The study estimated penetrance at age 60 for all cancers and specifically for colorectal cancer in both sexes .
20	"For both sexes combined , the penetrances at age 60 years for all cancers and for colorectal cancer were 0 ."	cancers|||colorectal cancer	Researchers evaluated age - 60 penetrance values for all cancers and colorectal cancer across both sexes .
23	"The risk of colorectal cancer was significantly higher ( p < 0 . 01 ) in males than females ( 0 . 63 v 0 . 30 and 0 . 84 v 0 . 44 at ages 50 and 60 years , respectively ) ."	colorectal cancer	"The risk of colorectal cancer was substantially higher in males than females , with significant differences observed at ages 50 and 60 ."
23	"The risk of colorectal cancer was significantly higher ( p < 0 . 01 ) in males than females ( 0 . 63 v 0 . 30 and 0 . 84 v 0 . 44 at ages 50 and 60 years , respectively ) ."	colorectal cancer	"Males exhibited a markedly elevated colorectal cancer risk compared with females , with significant sex - based differences ."
23	"The risk of colorectal cancer was significantly higher ( p < 0 . 01 ) in males than females ( 0 . 63 v 0 . 30 and 0 . 84 v 0 . 44 at ages 50 and 60 years , respectively ) ."	colorectal cancer	"Colorectal cancer risk was notably greater in males , showing significant contrasts with female risk estimates ."
23	"The risk of colorectal cancer was significantly higher ( p < 0 . 01 ) in males than females ( 0 . 63 v 0 . 30 and 0 . 84 v 0 . 44 at ages 50 and 60 years , respectively ) ."	colorectal cancer	Sex - specific analysis revealed a significantly increased colorectal cancer risk among males .
23	"The risk of colorectal cancer was significantly higher ( p < 0 . 01 ) in males than females ( 0 . 63 v 0 . 30 and 0 . 84 v 0 . 44 at ages 50 and 60 years , respectively ) ."	colorectal cancer	Colorectal cancer risk parameters demonstrated significantly higher values for males compared with females .
24	For females there was a high risk of endometrial cancer ( 0 . 5 at age 60 years ) and premenopausal ovarian cancer ( 0 . 2 at 50 years ) .	endometrial cancer|||premenopausal ovarian cancer	"Females displayed elevated risks of endometrial cancer and premenopausal ovarian cancer , with notable penetrance at ages 60 and 50 , respectively ."
24	For females there was a high risk of endometrial cancer ( 0 . 5 at age 60 years ) and premenopausal ovarian cancer ( 0 . 2 at 50 years ) .	endometrial cancer|||premenopausal ovarian cancer	Significant risks of endometrial cancer and premenopausal ovarian cancer were observed among females at specific ages .
24	For females there was a high risk of endometrial cancer ( 0 . 5 at age 60 years ) and premenopausal ovarian cancer ( 0 . 2 at 50 years ) .	endometrial cancer|||premenopausal ovarian cancer	Women exhibited high penetrance values for endometrial cancer by age 60 and for premenopausal ovarian cancer by age 50 .
24	For females there was a high risk of endometrial cancer ( 0 . 5 at age 60 years ) and premenopausal ovarian cancer ( 0 . 2 at 50 years ) .	endometrial cancer|||premenopausal ovarian cancer	Female carriers showed substantial risks for endometrial cancer and for premenopausal ovarian cancer at designated ages .
24	For females there was a high risk of endometrial cancer ( 0 . 5 at age 60 years ) and premenopausal ovarian cancer ( 0 . 2 at 50 years ) .	endometrial cancer|||premenopausal ovarian cancer	The study identified elevated female risks for both endometrial cancer and premenopausal ovarian cancer at key age thresholds .
25	These intersex differences in colorectal cancer risks have implications for screening programmes and for attempts to identify colorectal cancer susceptibility modifiers .	colorectal cancer|||colorectal cancer	These sex - based differences in colorectal cancer risk affect screening strategies and efforts to identify colorectal cancer susceptibility modifiers .
25	These intersex differences in colorectal cancer risks have implications for screening programmes and for attempts to identify colorectal cancer susceptibility modifiers .	colorectal cancer|||colorectal cancer	Sex - specific variations in colorectal cancer risk have meaningful implications for screening and discovery of susceptibility modifiers .
25	These intersex differences in colorectal cancer risks have implications for screening programmes and for attempts to identify colorectal cancer susceptibility modifiers .	colorectal cancer|||colorectal cancer	The observed sex differences in colorectal cancer risk inform screening protocols and modifier identification studies .
25	These intersex differences in colorectal cancer risks have implications for screening programmes and for attempts to identify colorectal cancer susceptibility modifiers .	colorectal cancer|||colorectal cancer	Sex - related risk disparities in colorectal cancer shape approaches to screening and to identifying susceptibility modifiers .
25	These intersex differences in colorectal cancer risks have implications for screening programmes and for attempts to identify colorectal cancer susceptibility modifiers .	colorectal cancer|||colorectal cancer	Intersex differences in colorectal cancer risk highlight the need for tailored screening practices and for identifying susceptibility modifiers .
26	Age of onset in Huntington disease : sex specific influence of apolipoprotein E genotype and normal CAG repeat length .	Huntington disease	The age of onset in Huntington disease is influenced by apolipoprotein E genotype and normal CAG repeat length in a sex - specific manner .
26	Age of onset in Huntington disease : sex specific influence of apolipoprotein E genotype and normal CAG repeat length .	Huntington disease	Huntington disease age of onset shows sex - specific patterns linked to apolipoprotein E genotype and normal CAG repeat length .
26	Age of onset in Huntington disease : sex specific influence of apolipoprotein E genotype and normal CAG repeat length .	Huntington disease	This study explores sex - related effects of apolipoprotein E genotype and normal CAG repeat length on Huntington disease age of onset .
26	Age of onset in Huntington disease : sex specific influence of apolipoprotein E genotype and normal CAG repeat length .	Huntington disease	The analysis identifies sex - specific modifiers of Huntington disease onset involving apolipoprotein E genotype and normal CAG repeat length .
26	Age of onset in Huntington disease : sex specific influence of apolipoprotein E genotype and normal CAG repeat length .	Huntington disease	Apolipoprotein E genotype and normal CAG repeat length exert sex - dependent effects on Huntington disease onset .
27	Age of onset ( AO ) of Huntington disease ( HD ) is known to be correlated with the length of an expanded CAG repeat in the HD gene .	Huntington disease|||HD|||HD	Age of onset in Huntington disease is correlated with expanded CAG repeat length in the HD gene .
27	Age of onset ( AO ) of Huntington disease ( HD ) is known to be correlated with the length of an expanded CAG repeat in the HD gene .	Huntington disease|||HD|||HD	Expanded CAG repeat length in the HD gene is strongly associated with Huntington disease age of onset .
27	Age of onset ( AO ) of Huntington disease ( HD ) is known to be correlated with the length of an expanded CAG repeat in the HD gene .	Huntington disease|||HD|||HD	Huntington disease onset is influenced by the size of the expanded CAG repeat in the HD gene .
27	Age of onset ( AO ) of Huntington disease ( HD ) is known to be correlated with the length of an expanded CAG repeat in the HD gene .	Huntington disease|||HD|||HD	The expanded CAG repeat within the HD gene shows a clear relationship with Huntington disease age of onset .
27	Age of onset ( AO ) of Huntington disease ( HD ) is known to be correlated with the length of an expanded CAG repeat in the HD gene .	Huntington disease|||HD|||HD	The correlation between expanded CAG repeat length and Huntington disease onset is well established .
28	"Apolipoprotein E ( APOE ) genotype , in turn , is known to influence AO in Alzheimer disease , rendering the APOE gene a likely candidate to affect AO in other neurological diseases too ."	Alzheimer disease|||neurological diseases	Apolipoprotein E genotype influences age of onset in Alzheimer disease and may affect onset in other neurological diseases .
28	"Apolipoprotein E ( APOE ) genotype , in turn , is known to influence AO in Alzheimer disease , rendering the APOE gene a likely candidate to affect AO in other neurological diseases too ."	Alzheimer disease|||neurological diseases	APOE genotype impacts Alzheimer disease onset and is a plausible modifier in additional neurological diseases .
28	"Apolipoprotein E ( APOE ) genotype , in turn , is known to influence AO in Alzheimer disease , rendering the APOE gene a likely candidate to affect AO in other neurological diseases too ."	Alzheimer disease|||neurological diseases	The APOE gene affects Alzheimer disease age of onset and may play a similar role in other neurological diseases .
28	"Apolipoprotein E ( APOE ) genotype , in turn , is known to influence AO in Alzheimer disease , rendering the APOE gene a likely candidate to affect AO in other neurological diseases too ."	Alzheimer disease|||neurological diseases	APOE genotype shapes Alzheimer disease onset and is considered a candidate modifier in various neurological diseases .
28	"Apolipoprotein E ( APOE ) genotype , in turn , is known to influence AO in Alzheimer disease , rendering the APOE gene a likely candidate to affect AO in other neurological diseases too ."	Alzheimer disease|||neurological diseases	The impact of APOE genotype on Alzheimer disease suggests possible roles in onset modulation across other neurological diseases .
29	We therefore determined APOE genotype and normal CAG repeat length in the HD gene for 138 HD patients who were previously analysed with respect to CAG repeat length .	HD|||HD	APOE genotype and normal CAG repeat length were measured in 138 HD patients previously assessed for expanded CAG repeat length .
29	We therefore determined APOE genotype and normal CAG repeat length in the HD gene for 138 HD patients who were previously analysed with respect to CAG repeat length .	HD|||HD	This study determined APOE genotype and normal CAG repeat counts in HD patients with prior expanded repeat analyses .
29	We therefore determined APOE genotype and normal CAG repeat length in the HD gene for 138 HD patients who were previously analysed with respect to CAG repeat length .	HD|||HD	Researchers assessed APOE genotype and normal CAG repeat size in 138 HD individuals already evaluated for expanded repeats .
29	We therefore determined APOE genotype and normal CAG repeat length in the HD gene for 138 HD patients who were previously analysed with respect to CAG repeat length .	HD|||HD	The analysis included APOE genotyping and measurement of normal CAG repeat length in previously characterised HD patients .
29	We therefore determined APOE genotype and normal CAG repeat length in the HD gene for 138 HD patients who were previously analysed with respect to CAG repeat length .	HD|||HD	The study evaluated APOE genotype and normal CAG repeat length in 138 HD patients with existing expanded repeat data .
